objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,productionPlace,findspot,primaryImage,objectURL
bm:A_1830-0612-4,bm,A_1830-0612-4,Figure,figure,Asia,Buddhist,Buddhist,8thC (circa),bronze,From: Sir Robert Brownrigg,1830,Found/Acquired: Trincomalee (near),Made in: Sri Lanka,Found/Acquired: Trincomalee (near),http://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/68b2cd63_7ab2_4aa7_930a_a3b7006954bd/preview_00031550_001.jpg,https://www.britishmuseum.org/collection/object/A_1830-0612-4
bm:A_1859-1228-121,bm,A_1859-1228-121,Bell,bell,Asia,,,14thC (possibly),bronze,Donated by: Rev William Charles Raffles Flint,1859,Field Collection by: Sir Thomas Stamford Raffles — Found/Acquired: Kedu,Made in: Java,Found/Acquired: Kedu,http://media.britishmuseum.org/media/Repository/Documents/2017_3/27_16/82b8fd6a_76c7_42ca_9ac3_a74301118836/preview_1859_1228_121.jpg,https://www.britishmuseum.org/collection/object/A_1859-1228-121
bm:A_1880-0709-40,bm,A_1880-0709-40,Block,block,Asia,,,3rdC,limestone,Transferred from: India Museum,1880,"Excavated by: Sir Walter Elliot KCSI, FRS, LL.D (hon.) — Found/Acquired: Amaravati","Made in: Amaravati , Buddhist stupa",Found/Acquired: Amaravati,http://media.britishmuseum.org/media/Repository/Documents/2014_10/5_5/6cb672eb_0f39_450a_99f1_a3bb005968a9/preview_00303744_001.jpg,https://www.britishmuseum.org/collection/object/A_1880-0709-40
bm:A_1880-28,bm,A_1880-28,Reliquary,reliquary,Asia,Buddhist,Buddhist,1stC (late)-2ndC (found with coins of Kujula Kadphises (c. AD 40-90)),steatite,Transferred from: India Museum,1880,Excavated by: Charles Masson — Excavated/Findspot: Bimaran Stupa 5,Made in: Darunta,Excavated/Findspot: Bimaran Stupa 5,http://media.britishmuseum.org/media/Repository/Documents/2014_10/9_15/c5d550d9_7fd1_4986_b421_a3bf0100debc/preview_00523766_001.jpg,https://www.britishmuseum.org/collection/object/A_1880-28
bm:A_1880-3633,bm,A_1880-3633,Signet-Ring,signet-ring,Asia,Kushan (?),Kushan (?),3rdC-4thC (circa),copper alloy,Transferred from: India Museum,1880,Field Collection by: Charles Masson — Found/Acquired: Begram (?),Made in: Afghanistan,Found/Acquired: Begram (?),http://media.britishmuseum.org/media/Repository/Documents/2014_10/12_22/3df23174_6780_4712_8955_a3c20177006f/preview_00771673_001.jpg,https://www.britishmuseum.org/collection/object/A_1880-3633
bm:A_1890-0208-1,bm,A_1890-0208-1,Adze,adze,Asia,Neolithic (phase),Neolithic (phase),4500BC-500BC,schist,Purchased from: Henry Jammes (Price for the group £19 12s.),1890,Found/Acquired: Cambodia,Made in: Cambodia,Found/Acquired: Cambodia,http://media.britishmuseum.org/media/Repository/Documents/2014_11/4_18/adb9bba8_8396_4677_a684_a3d9012bfa87/preview_01183546_001.jpg,https://www.britishmuseum.org/collection/object/A_1890-0208-1
bm:A_1891-1215-1,bm,A_1891-1215-1,"Bottle (백자반구병
白磁盤口甁)","bottle (백자반구병
白磁盤口甁)",Asia,Joseon Dynasty,Joseon Dynasty,18thC-19thC,ceramic,"Donated by: Dr W G K Barnes, RN",1891,Found/Acquired: Korea,,Found/Acquired: Korea,,https://www.britishmuseum.org/collection/object/A_1891-1215-1
bm:A_1927-0613-1,bm,A_1927-0613-1,Altar-Piece,altar-piece,Asia,,,18thC-19thC,metal,Purchased from: Dr Walter Leo Hildburgh (price £50),1927,Found/Acquired: Nepal,,Found/Acquired: Nepal,,https://www.britishmuseum.org/collection/object/A_1927-0613-1
bm:A_1950-1211-2,bm,A_1950-1211-2,Architecture,architecture,Asia,Kushan,Kushan,2ndC-3rdC,schist,Donated by: Aubrey Turnbull,1950,Found/Acquired: Takht-i-Bahi,Made in: Gandhara (historic - Pakistan),Found/Acquired: Takht-i-Bahi,http://media.britishmuseum.org/media/Repository/Documents/2025_6/30_16/148b2e41_b4d7_43d5_b734_b30c010c31d7/preview_1950_1211_2_2.jpg,https://www.britishmuseum.org/collection/object/A_1950-1211-2
bm:A_1958-1112-1,bm,A_1958-1112-1,Axe,axe,Asia,Neolithic,Neolithic,4500BC-500BC (?),stone,Donated by: Christopher Pym,1958,Found/Acquired: Oc-eo,Made in: Vietnam (?),Found/Acquired: Oc-eo,http://media.britishmuseum.org/media/Repository/Documents/2024_6/16_6/6928f269_4e55_42a5_9697_b1910066ce20/preview_IMG_1307.jpg,https://www.britishmuseum.org/collection/object/A_1958-1112-1
