objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
met:36203,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:36204,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:36205,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:36207,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:36209,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:38945,India (Tamil Nadu),India (Tamil Nadu),culture,20.5937,78.9629,India,India,40.7794,-73.9632
met:38947,India (Kerala),India (Kerala),culture,20.5937,78.9629,India,India,40.7794,-73.9632
met:38948,Cambodia or Thailand,Cambodia or Thailand,culture,15.87,100.9925,Tailandia,Thailand,40.7794,-73.9632
met:38949,Northeastern Thailand,Northeastern Thailand,culture,15.87,100.9925,Tailandia,Thailand,40.7794,-73.9632
met:38951,"Plai Bat II Temple, Lahan Sai District, Buriram Province, Thailand","Plai Bat II Temple, Lahan Sai District, Buriram Province, Thailand",culture,15.87,100.9925,Tailandia,Thailand,40.7794,-73.9632
met:41772,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:41774,Japan,Japan,culture,36.2048,138.2529,Japón,Japan,40.7794,-73.9632
met:41775,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:41776,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:41778,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:44396,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:44398,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:44399,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:44400,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:44402,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:45836,Japan,Japan,culture,36.2048,138.2529,Japón,Japan,40.7794,-73.9632
met:45838,Japan,Japan,culture,36.2048,138.2529,Japón,Japan,40.7794,-73.9632
met:45839,Japan,Japan,culture,36.2048,138.2529,Japón,Japan,40.7794,-73.9632
met:45840,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:45842,China,China,culture,35.8617,104.1954,China,China,40.7794,-73.9632
met:76035,India,India,country,20.5937,78.9629,India,India,40.7794,-73.9632
met:80390,Siria,Syria,country,34.8021,38.9968,Siria,Syria,40.7794,-73.9632
met:80721,,,unresolved,,,,,40.7794,-73.9632
met:85498,Medio Oriente,Middle East,region,30.0,40.0,,,40.7794,-73.9632
met:85500,Uzbekistán,present-day Uzbekistan,country,41.3775,64.5853,Uzbekistán,Uzbekistan,40.7794,-73.9632
met:85501,Uzbekistán,present-day Uzbekistan,country,41.3775,64.5853,Uzbekistán,Uzbekistan,40.7794,-73.9632
met:85503,Uzbekistán,present-day Uzbekistan,country,41.3775,64.5853,Uzbekistán,Uzbekistan,40.7794,-73.9632
met:85505,Medio Oriente,Middle East,region,30.0,40.0,,,40.7794,-73.9632
met:89985,Guatemala,Guatemala,country,15.7835,-90.2308,Guatemala,Guatemala,40.7794,-73.9632
met:90277,Peru,Peru,country,-9.19,-75.0152,Perú,Peru,40.7794,-73.9632
met:96404,República Democrática del Congo,Democratic Republic of the Congo,country,-4.0383,21.7587,República Democrática del Congo,Democratic Republic of the Congo,40.7794,-73.9632
met:105510,Estados Unidos,United States,country,39.8283,-98.5795,Estados Unidos,United States,40.7794,-73.9632
met:123386,Guatemala,Guatemala,country,15.7835,-90.2308,Guatemala,Guatemala,40.7794,-73.9632
