objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
louvre:cl010002359,,,unresolved,,,,,48.8606,2.3376
louvre:cl010002360,,,unresolved,,,,,48.8606,2.3376
louvre:cl010003518,,,unresolved,,,,,48.8606,2.3376
louvre:cl010003776,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
louvre:cl010004065,,,unresolved,,,,,48.8606,2.3376
louvre:cl010005241,,,unresolved,,,,,48.8606,2.3376
louvre:cl010005443,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010005798,Saqqara,Saqqara,site,29.8714,31.2164,Egipto,Egypt,48.8606,2.3376
louvre:cl010006164,,,unresolved,,,,,48.8606,2.3376
louvre:cl010006263,Saqqara,Saqqara,site,29.8714,31.2164,Egipto,Egypt,48.8606,2.3376
louvre:cl010006343,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
louvre:cl010006354,Saqqara,Saqqara,site,29.8714,31.2164,Egipto,Egypt,48.8606,2.3376
louvre:cl010006516,,,unresolved,,,,,48.8606,2.3376
louvre:cl010006582,Saqqara,Saqqara,site,29.8714,31.2164,Egipto,Egypt,48.8606,2.3376
louvre:cl010006725,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
louvre:cl010006825,,,unresolved,,,,,48.8606,2.3376
louvre:cl010007085,,,unresolved,,,,,48.8606,2.3376
louvre:cl010007229,,,unresolved,,,,,48.8606,2.3376
louvre:cl010007230,Abu Rawash,Abu Rawash,site,30.1167,31.2167,Egipto,Egypt,48.8606,2.3376
louvre:cl010007343,,,unresolved,,,,,48.8606,2.3376
louvre:cl010007467,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010007592,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
louvre:cl010007858,Saqqara,Saqqara,site,29.8714,31.2164,Egipto,Egypt,48.8606,2.3376
louvre:cl010007975,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
