objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
qb:1624,"Makira-Ulawa, islas Salomón","Makira-Ulawa, Solomon Islands",region,-10.45,161.917,Islas Salomón,Solomon Islands,48.8607,2.2978
qb:12795,East Sepik (province),East Sepik (province),country,-6.3149,143.9555,Papúa Nueva Guinea,Papua New Guinea,48.8607,2.2978
qb:17904,Mogara (village),Mogara (village),country,-6.3149,143.9555,Papúa Nueva Guinea,Papua New Guinea,48.8607,2.2978
qb:18218,Muri Muri (village),Muri Muri (village),country,-17.7134,178.065,Fiyi,Fiji,48.8607,2.2978
qb:20682,Bathurst (île),Bathurst (île),country,-25.2744,133.7751,Australia,Australia,48.8607,2.2978
qb:24035,Fiyi,Fiji,country,-17.7134,178.065,Fiyi,Fiji,48.8607,2.2978
qb:29052,"Aurès (aprox., misión Rivière-Tillion)","Aurès region (approx., Rivière-Tillion mission)",region,35.2667,6.5333,Argelia,Algeria,48.8607,2.2978
qb:31447,Djanet,Djanet,country,28.0339,1.6596,Argelia,Algeria,48.8607,2.2978
qb:35472,Sous (vallée),Sous (vallée),country,31.7917,-7.0926,Marruecos,Morocco,48.8607,2.2978
qb:35473,Sous (vallée),Sous (vallée),country,31.7917,-7.0926,Marruecos,Morocco,48.8607,2.2978
qb:36060,Tindouf (ville),Tindouf (ville),country,28.0339,1.6596,Argelia,Algeria,48.8607,2.2978
qb:36228,Aït Berdjal,Aït Berdjal,country,28.0339,1.6596,Argelia,Algeria,48.8607,2.2978
qb:36388,"Aurès (aprox., misión Rivière-Tillion)","Aurès region (approx., Rivière-Tillion mission)",region,35.2667,6.5333,Argelia,Algeria,48.8607,2.2978
qb:36389,"Aurès (aprox., misión Rivière-Tillion)","Aurès region (approx., Rivière-Tillion mission)",region,35.2667,6.5333,Argelia,Algeria,48.8607,2.2978
qb:36390,"Aurès (aprox., misión Rivière-Tillion)","Aurès region (approx., Rivière-Tillion mission)",region,35.2667,6.5333,Argelia,Algeria,48.8607,2.2978
