objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,placeOfCreation,placeOfDiscovery,provenance,primaryImage,objectURL
louvre:cl010002360,louvre,cl010002360,Statue de Tiy et Amenhotep III,statue de couple (fragment),Département des Antiquités égyptiennes,,Date de création/fabrication : Amenhotep III (inscription/dédicace/signature) (-1388 - -1349),Date de création/fabrication : Amenhotep III (inscription/dédicace/signature) (-1388 - -1349),"Matériau : stéatite
Technique : ronde-bosse, glaçurage, martelage
Couleur : vert",achat et don (1826),1826,,,,,https://collections.louvre.fr/media/cache/large/0000000021/0000002360/0000060849_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010002360
louvre:cl010006343,louvre,cl010006343,Triade d'Osorkon,pendentif,Département des Antiquités égyptiennes,,Date de création/fabrication : Ousermaâtrê Osorkon II (inscription/dédicace/signature) (-865 - -830),Date de création/fabrication : Ousermaâtrê Osorkon II (inscription/dédicace/signature) (-865 - -830),"Matériau : or
Matériau secondaire : lapis-lazuli (colonnette sur laquelle est assis Osiris)
Technique : ronde-bosse, incrustation",achat (21/11/1872),1872,Karnak (Thèbes Est->Thèbes->région thébaine) (d'après Chrysikopoulos 2018),,Karnak (Thèbes Est->Thèbes->région thébaine) (d'après Chrysikopoulos 2018),,https://collections.louvre.fr/media/cache/large/0000000021/0000006343/0001296529_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010006343
louvre:cl010006582,louvre,cl010006582,Le scribe accroupi,statue de scribe assis en tailleur,Département des Antiquités égyptiennes,,Date de création/fabrication : IVe dynastie (attribution d'après style) (-2675 - -2545),Date de création/fabrication : IVe dynastie (attribution d'après style) (-2675 - -2545),"Matériau : calcaire
Matériau secondaire : albâtre égyptien (sclérotique), cristal de roche (iris), cuivre (contour des yeux)
Technique : ronde-bosse, peinture, incrustation (yeux)",achat (16/12/1854),1854,"Saqqara-Nord (Saqqara->Nécropole memphite->Région memphite) (""Dans un puits situé au nord du Sérapéum"" : registre des fouilles, Archives natinales 20150162/227) (19 novembre 1850)",,"Saqqara-Nord (Saqqara->Nécropole memphite->Région memphite) (""Dans un puits situé au nord du Sérapéum"" : registre des fouilles, Archives natinales 20150162/227)",,https://collections.louvre.fr/media/cache/large/0000000021/0000006582/0000388426_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010006582
louvre:cl010006825,louvre,cl010006825,Palette au taureau,palette à fard (fragment),Département des Antiquités égyptiennes,,Date de création/fabrication : Nagada III A-B (attribution d'après style) (-3200 - -3100),Date de création/fabrication : Nagada III A-B (attribution d'après style) (-3200 - -3100),"Matériau : grauwacke
Technique : bas-relief saillant",don (25/01/1912),1912,,,,,https://collections.louvre.fr/media/cache/large/0000000021/0000006825/0000064411_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010006825
louvre:cl010007230,louvre,cl010007230,Tête de Djedefrê,statue (fragment),Département des Antiquités égyptiennes,,Date de création/fabrication : Djedefrê (contexte de fouilles) (-2605 - -2597),Date de création/fabrication : Djedefrê (contexte de fouilles) (-2605 - -2597),"Matériau : grès silicifié
Technique : ronde-bosse, peinture
Couleur : rouge-traces",partage après fouilles (20/08/1907),1907,complexe funéraire de Djedefrê (Abou Rawach->Nécropole memphite->Région memphite) (1900-1901),,complexe funéraire de Djedefrê (Abou Rawach->Nécropole memphite->Région memphite),,https://collections.louvre.fr/media/cache/large/0000000021/0000007230/0001280181_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010007230
louvre:cl010007343,louvre,cl010007343,Palette aux quatre canidés,palette à fard,Département des Antiquités égyptiennes,,Date de création/fabrication : Nagada III A-B (attribution d'après style) (-3200 - -3100),Date de création/fabrication : Nagada III A-B (attribution d'après style) (-3200 - -3100),"Matériau : grauwacke
Technique : bas-relief saillant",achat (04/02/1904),1904,,,,,https://collections.louvre.fr/media/cache/large/0000000021/0000007343/0000058656_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010007343
louvre:cl010007467,louvre,cl010007467,Couteau du Gebel el-Arak,couteau,Département des Antiquités égyptiennes,,Date de création/fabrication : Nagada II C-D (attribution d'après style) (-3600 - -3200),Date de création/fabrication : Nagada II C-D (attribution d'après style) (-3600 - -3200),"Matériau : ivoire d'hippopotame (manche), silex (lame)
Technique : bas-relief saillant",achat (12/03/1914),1914,Gebel el-Arak (Haute Égypte->Égypte->Afrique du Nord) (d'après vendeur),,Gebel el-Arak (Haute Égypte->Égypte->Afrique du Nord) (d'après vendeur),,https://collections.louvre.fr/media/cache/large/0000000021/0000007467/0000058659_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010007467
louvre:cl010007975,louvre,cl010007975,Statue de Karomama,statue,Département des Antiquités égyptiennes,,Date de création/fabrication : Ousermaâtrê Osorkon II ; Hedjkheperrê Takélot II (mention de personnage) (-865 - -809),Date de création/fabrication : Ousermaâtrê Osorkon II ; Hedjkheperrê Takélot II (mention de personnage) (-865 - -809),"Matériau : bronze
Matériau secondaire : or
Technique : ronde-bosse, incrustation",acquisition en mission (1830),1830,,,,Thèbes (région thébaine->Haute Égypte->Égypte),https://collections.louvre.fr/media/cache/large/0000000021/0000007975/0000569639_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010007975
louvre:cl010008108,louvre,cl010008108,figurine ; élément de meuble ; serrure,figurine ; élément de meuble (?) ; serrure (?),Département des Antiquités égyptiennes,,Date de création/fabrication : Thoutmosis III (inscription/dédicace/signature) (-1479 - -1425),Date de création/fabrication : Thoutmosis III (inscription/dédicace/signature) (-1479 - -1425),"Matériau : bronze
Matériau secondaire : or
Technique : incrustation, ronde-bosse",achat (17/01/1901),1901,,,,,https://collections.louvre.fr/media/cache/large/0000000021/0000008108/0001292746_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010008108
louvre:cl010008693,louvre,cl010008693,statue de couple,statue de couple,Département des Antiquités égyptiennes,,Date de création/fabrication : Ve dynastie (attribution d'après style) (-2545 - -2413),Date de création/fabrication : Ve dynastie (attribution d'après style) (-2545 - -2413),"Matériau : calcaire
Technique : peinture, ronde-bosse
Couleur : ocre jaune-rouge-bleu turquoise-bleu",donation sous réserve d'usufruit (07/04/1938),1938,1902,,,Giza (Région memphite->Nécropole memphite) (d'après inventaire),https://collections.louvre.fr/media/cache/large/0000000021/0000008693/0000059092_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010008693
