objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,dynasty,objectDate,medium,creditLine,accessionYear,excavation,geographyType,country,region,subregion,primaryImage,objectURL,objectWikidata_URL
met:36203,met,36203,Cultivating Longevity,Hanging scroll,Asian Art,China,Qing dynasty (1644–1911) or Republic period (1912–49),,likely 1923,Hanging scroll; ink on paper,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",1986,,,,,,,https://www.metmuseum.org/art/collection/search/36203,https://www.wikidata.org/wiki/Q116394982
met:36204,met,36204,Chanting on Donkey-back,Folding fan mounted as an album leaf,Asian Art,China,,,dated 1919,Folding fan mounted as an album leaf; ink and color on alum paper,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",1986,,,,,,,https://www.metmuseum.org/art/collection/search/36204,
met:36205,met,36205,Hezhang Peak,Folding fan mounted as an album leaf,Asian Art,China,,,dated 1921,Folding fan mounted as an album leaf; ink and color on alum paper,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",1986,,,,,,,https://www.metmuseum.org/art/collection/search/36205,
met:36207,met,36207,Ouyang Xiu Reading at Midnight,Hanging scroll,Asian Art,China,,,early 20th century,Hanging scroll; ink and color on paper,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",1986,,,,,,,https://www.metmuseum.org/art/collection/search/36207,
met:36209,met,36209,Orchid in a Vase,Hanging scroll,Asian Art,China,Qing dynasty (1644–1911),,dated 1902,Hanging scroll; ink on paper,"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",1986,,,,,,,https://www.metmuseum.org/art/collection/search/36209,
met:38945,met,38945,Hanuman Conversing,Figure,Asian Art,India (Tamil Nadu),Chola period,,11th century,Copper alloy,"Purchase, various donors and funds, by exchange, 1982",1982,,,,,,https://images.metmuseum.org/CRDImages/as/original/DT5250.jpg,https://www.metmuseum.org/art/collection/search/38945,https://www.wikidata.org/wiki/Q83562134
met:38947,met,38947,Standing Shiva,Figure,Asian Art,India (Kerala),,,ca. 13th century,Bronze,"Gift of Margery and Harry Kahn, 1979",1979,,,,,,https://images.metmuseum.org/CRDImages/as/original/1979_508.jpg,https://www.metmuseum.org/art/collection/search/38947,
met:38948,met,38948,Seated Buddha,Figurine,Asian Art,Cambodia or Thailand,pre-Angkor period,,7th–8th century,Bronze,"Gift of Mr. and Mrs. Michael Phillips, 1981",1981,,,,,,https://images.metmuseum.org/CRDImages/as/original/1981_462_2_227589.jpg,https://www.metmuseum.org/art/collection/search/38948,
met:38949,met,38949,"Bodhisattva, possibly Maitreya",Figure,Asian Art,Northeastern Thailand,,,first quarter of the 8th century,Copper alloy with tin,"Purchase, Friends of Asian Art Gifts, 1989",1989,,,,,,https://images.metmuseum.org/CRDImages/as/original/LK.1989.151_DP291665R1_25U.jpg,https://www.metmuseum.org/art/collection/search/38949,https://www.wikidata.org/wiki/Q116374480
met:38951,met,38951,Buddha Preaching,Figure,Asian Art,"Plai Bat II Temple, Lahan Sai District, Buriram Province, Thailand",,,8th century,Copper alloy inlaid with silver and glass or obsidian,"Rogers Fund, 1982",1982,,,,,,https://images.metmuseum.org/CRDImages/as/original/LK.1982.220.5_DP310130R2_25U.jpg,https://www.metmuseum.org/art/collection/search/38951,https://www.wikidata.org/wiki/Q83562137
met:41772,met,41772,Ink Tablet with Tang Mirror Design,Ink tablet,Asian Art,China,late Qing dynasty (1644–1911) or early Republic period (1912–49),,late 19th–early 20th century,Black ink,"Rogers Fund, 1930",1930,,,,,,https://images.metmuseum.org/CRDImages/as/original/30_76_194_79225.jpg,https://www.metmuseum.org/art/collection/search/41772,
met:41774,met,41774,Child Lying Down,Figure,Asian Art,Japan,Edo period (1615–1868),,late 18th–first half of 19th century,Porcelain with underglaze blue and overglaze enamels (Hirado ware),"Gift of Mrs. V. Everit Macy, 1923",1923,,,,,,https://images.metmuseum.org/CRDImages/as/original/23_225_80_O1_sf.jpg,https://www.metmuseum.org/art/collection/search/41774,
met:41775,met,41775,Ink stick,Ink stick,Asian Art,China,Qing dynasty (1644–1911),,after 1850,Ink,"Rogers Fund, 1930",1930,,,,,,,https://www.metmuseum.org/art/collection/search/41775,
met:41776,met,41776,Ink Tablet with Peach Tree,Ink tablet,Asian Art,China,late Qing dynasty (1644–1911) or early Republic period (1912–49),,late 19th–early 20th century,Black ink,"Rogers Fund, 1930",1930,,,,,,https://images.metmuseum.org/CRDImages/as/original/DP225822.jpg,https://www.metmuseum.org/art/collection/search/41776,
met:41778,met,41778,Ink Tablet with Two Phoenixes Design,Ink tablet,Asian Art,China,late Qing dynasty (1644–1911) or early Republic period (1912–49),,late 19th–early 20th century,Ink,"Rogers Fund, 1930",1930,,,,,,https://images.metmuseum.org/CRDImages/as/original/30_76_199_B.jpg,https://www.metmuseum.org/art/collection/search/41778,
met:44396,met,44396,Pig in Recumbent Position,Figure,Asian Art,China,Eastern Han dynasty (25–220),,1st–2nd century,Jade (nephrite),"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994",1994,,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-17989-049.jpg,https://www.metmuseum.org/art/collection/search/44396,https://www.wikidata.org/wiki/Q116395928
met:44398,met,44398,Spearhead,Spearhead,Asian Art,China,"Eastern Zhou dynasty, Warring States period (475–221 BCE)",,Bashu culture 4th–3rd century BCE,Bronze,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994",1994,,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-37009-001.jpg,https://www.metmuseum.org/art/collection/search/44398,https://www.wikidata.org/wiki/Q116314370
met:44399,met,44399,Roof-Tile End with Auspicious Inscription,Tile,Asian Art,China,Western Han dynasty (206 BCE–9 CE),,,Earthenware,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994",1994,,,,,,https://images.metmuseum.org/CRDImages/as/original/1994_605_99.JPG,https://www.metmuseum.org/art/collection/search/44399,https://www.wikidata.org/wiki/Q116314369
met:44400,met,44400,Pair of Octagonal Sticks,Sticks,Asian Art,China,Western Han dynasty (206 BCE–9 CE),,2nd–1st century BCE,Cannel coal,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994",1994,,,,,,https://images.metmuseum.org/CRDImages/as/original/1994_605_100_O1.jpg,https://www.metmuseum.org/art/collection/search/44400,
met:44402,met,44402,Pair of Turquoise-Blue Plugs,Plugs,Asian Art,China,late Warring States (475–221 BCE)–Western Han (206 BCE),,ca. 3rd century BCE,Gilt turquoise glass,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994",1994,,,,,,https://images.metmuseum.org/CRDImages/as/original/1994_605_102_O1.jpg,https://www.metmuseum.org/art/collection/search/44402,
met:45836,met,45836,Seated Figure of Amida,Figure,Asian Art,Japan,,,,Stoneware,"Rogers Fund, 1912",1912,,,,,,,https://www.metmuseum.org/art/collection/search/45836,
met:45838,met,45838,Vase with cover,Vase with cover,Asian Art,Japan,Edo period (1615–1868),,1720,"Porcelain decorated with enamels (Arita ware, Imari type)","Gift of Mrs. V. Everit Macy, 1923",1923,,,,,,https://images.metmuseum.org/CRDImages/as/original/55588.jpg,https://www.metmuseum.org/art/collection/search/45838,
met:45839,met,45839,Vase with cover,Vase with cover,Asian Art,Japan,Edo period (1615–1868),,1720,"Porcelain decorated with enamels (Arita ware, Imari type)","Gift of Mrs. V. Everit Macy, 1923",1923,,,,,,https://images.metmuseum.org/CRDImages/as/original/55589.jpg,https://www.metmuseum.org/art/collection/search/45839,
met:45840,met,45840,Figure of a civil official,Figure,Asian Art,China,Tang dynasty (618–907),,7th–8th century,Earthenware with glaze and pigments,"Gift of Mrs. Edward S. Harkness, 1923",1923,,,,,,https://images.metmuseum.org/CRDImages/as/original/52854.jpg,https://www.metmuseum.org/art/collection/search/45840,
met:45842,met,45842,White-Robed Guanyin,Figure,Asian Art,China,Qing dynasty (1644–1911),,18th century,Porcelain with white glaze (Dehua ware),"Bequest of Mary Stillman Harkness, 1950",1950,,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-18152-001.jpg,https://www.metmuseum.org/art/collection/search/45842,
met:76035,met,76035,Prince A'zam Shah Enters Ahmedabad,Illustrated single work,Islamic Art,,,,ca. 1701,Color and gold on paper,"Howard Hodgkin Collection, Purchase, various funds, 2022",2022,,Country of Origin,India,,,https://images.metmuseum.org/CRDImages/is/original/DP-28147-001.jpg,https://www.metmuseum.org/art/collection/search/76035,https://www.wikidata.org/wiki/Q50812738
met:80390,met,80390,Woman's Cape,Cape,Islamic Art,,,,late 19th–early 20th century,"Silk, cotton, wool, metal wrapped thread, metal, and paper","Purchase, Gifts in memory of Paul M. Ettesvold, and Judith and Gerson Leiber Fund, 1994",1994,,Made in,Syria,,,,https://www.metmuseum.org/art/collection/search/80390,
met:80721,met,80721,Coat,Coat,Islamic Art,,,,late 19th–early 20th century,Silk; ikat woven,"Gift of Beatrice Trum Hunter, 1993",1993,,Made in,,,,,https://www.metmuseum.org/art/collection/search/80721,
met:85498,met,85498,Coat,Coat,Islamic Art,,,,18th–19th century,"Silk, metal wrapped thread, cotton; brocaded","Gift of Mr. and Mrs. Clarence Stein, 1962",1962,,Made in,,Middle East,,https://images.metmuseum.org/CRDImages/is/original/CI62.55.5_F.jpg,https://www.metmuseum.org/art/collection/search/85498,
met:85500,met,85500,Coat,Coat,Islamic Art,,,,1875–1940,Silk; ikat woven,"Gift of Bella Spewack, 1940",1940,,Made in,present-day Uzbekistan,,,,https://www.metmuseum.org/art/collection/search/85500,
met:85501,met,85501,Kaftan,Kaftan,Islamic Art,,,,19th century–early 20th century,"Cotton, silk; ikat woven","Purchase, Irene Lewisohn Bequest, 1971",1971,,From,present-day Uzbekistan,,,,https://www.metmuseum.org/art/collection/search/85501,
met:85503,met,85503,Robe,Robe,Islamic Art,,,,19th century,"Silk, cotton; ikat woven","Gift of The Arthur and Madeleine Lejwa Collection, 1975",1975,,Made in,present-day Uzbekistan,,,https://images.metmuseum.org/CRDImages/is/original/1975.388.1_F.jpg,https://www.metmuseum.org/art/collection/search/85503,
met:85505,met,85505,Dress,Dress,Islamic Art,,,,20th century,Silk; embroidered,"Gift of Mr. and Mrs. Clarence Stein, 1962",1962,,Made in,,Middle East,,,https://www.metmuseum.org/art/collection/search/85505,
met:89985,met,89985,Headscarf,Headscarf,The Michael C. Rockefeller Wing,Guatemalan,,,20th century,cotton,"Gift of Dr. and Mrs. Emile Gordon Stoloff, 1951",1951,,,Guatemala,,,,https://www.metmuseum.org/art/collection/search/89985,
met:90277,met,90277,Brooch,Brooch,The Michael C. Rockefeller Wing,Peruvian,,,first quarter 20th century,"metal, glass","Gift of Hilary Knight, in memory of Katharine Sturges Knight, 1984",1984,,,Peru,,,,https://www.metmuseum.org/art/collection/search/90277,
met:96404,met,96404,Woman's Embroidered Wrapper (Ntshakokot),Skirt,The Michael C. Rockefeller Wing,Kuba peoples,,,early 20th century,"Raffia, reed","Purchase, Various Donors by Exchange, 1991",1991,,,Democratic Republic of the Congo,,,,https://www.metmuseum.org/art/collection/search/96404,
met:105510,met,105510,Shoes,Shoes,The Michael C. Rockefeller Wing,Huron,,,1830–40,"Wool, silk, moosehair","Gift of Mrs. Harry R. Radin, 1937",1937,,,United States,,,https://images.metmuseum.org/CRDImages/ao/original/CI37.1.3ab_F.jpg,https://www.metmuseum.org/art/collection/search/105510,
met:123386,met,123386,Shirt,Shirt(?),The Michael C. Rockefeller Wing,Guatemala,,,1800–1939,cotton,"Gift of Miss Alice de La Mar, 1939",1939,,,Guatemala,,,,https://www.metmuseum.org/art/collection/search/123386,
met:240028,met,240028,Amphora,Amphora,Greek and Roman Art,Cypriot,Cypro-Archaic I,,750–600 BCE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/LC-74_51_442.jpg,https://www.metmuseum.org/art/collection/search/240028,
met:240029,met,240029,Jug,Jug,Greek and Roman Art,Cypriot,Cypro-Archaic I,,750–600 BCE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/LC-74_51_443.jpg,https://www.metmuseum.org/art/collection/search/240029,
met:240032,met,240032,Terracotta jug,Jug,Greek and Roman Art,Cypriot,Cypro-Archaic II,,600–480 BCE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/LC-74_51_446.jpg,https://www.metmuseum.org/art/collection/search/240032,
met:240033,met,240033,Jug,Jug,Greek and Roman Art,Cypriot,Cypro-Geometric III,,850–750 BCE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/LC-74_51_447.jpg,https://www.metmuseum.org/art/collection/search/240033,
met:240036,met,240036,Terracotta juglet,Juglet,Greek and Roman Art,Cypriot,Cypro-Archaic II,,600–480 BCE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP121726.jpg,https://www.metmuseum.org/art/collection/search/240036,https://www.wikidata.org/wiki/Q116297254
met:241666,met,241666,Terracotta oil lamp,Lamp,Greek and Roman Art,"Roman, Cypriot",Early Imperial,,1st century CE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-22527-260.jpg,https://www.metmuseum.org/art/collection/search/241666,
met:241667,met,241667,Terracotta oil lamp,Lamp,Greek and Roman Art,Roman,Early Imperial,,1st century BCE–1st century CE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-19673-020.jpg,https://www.metmuseum.org/art/collection/search/241667,
met:241670,met,241670,Terracotta oil lamp,Lamp,Greek and Roman Art,Roman,Early Imperial,,1st half of 1st century CE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-19673-094.jpg,https://www.metmuseum.org/art/collection/search/241670,
met:241671,met,241671,Terracotta oil lamp,Lamp,Greek and Roman Art,Roman,Early Imperial,,1st half of 1st century CE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-22527-262.jpg,https://www.metmuseum.org/art/collection/search/241671,
met:241674,met,241674,Terracotta oil lamp,Lamp,Greek and Roman Art,Roman,Early Imperial,,1st century CE,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-22527-265.jpg,https://www.metmuseum.org/art/collection/search/241674,https://www.wikidata.org/wiki/Q116401889
met:244348,met,244348,Strigil blade,Strigil blade,Greek and Roman Art,"Roman, Cypriot",,,,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP2299.jpg,https://www.metmuseum.org/art/collection/search/244348,
met:244349,met,244349,Strigil,Strigil,Greek and Roman Art,Cypriot,,,5th century BCE,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP9102.jpg,https://www.metmuseum.org/art/collection/search/244349,
met:244352,met,244352,Ring,Ring,Greek and Roman Art,Cypriot,,,,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP2291.jpg,https://www.metmuseum.org/art/collection/search/244352,
met:244353,met,244353,Bracelet,Bracelet,Greek and Roman Art,Cypriot,,,,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP2289.jpg,https://www.metmuseum.org/art/collection/search/244353,
met:244355,met,244355,Bracelet,Bracelet,Greek and Roman Art,Cypriot,,,,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",1874,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP2290.jpg,https://www.metmuseum.org/art/collection/search/244355,
met:246740,met,246740,Terracotta relief plaque with head of Medusa,Head of Medusa,Greek and Roman Art,Greek,Hellenistic,,2nd century BCE,Terracotta,"Gift of F. W. Rhinelander, 1898",1898,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP229133.jpg,https://www.metmuseum.org/art/collection/search/246740,https://www.wikidata.org/wiki/Q116288506
met:246741,met,246741,Terracotta relief plaque with head of Medusa,Head of Medusa,Greek and Roman Art,Greek,Hellenistic,,2nd century BCE,Terracotta,"Gift of F. W. Rhinelander, 1898",1898,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP229134.jpg,https://www.metmuseum.org/art/collection/search/246741,https://www.wikidata.org/wiki/Q116288500
met:246744,met,246744,Terracotta Megarian bowl,Bowl,Greek and Roman Art,"Greek, Argive",Hellenistic,,ca. 165–150 BCE,Terracotta,"Gift of F. W. Rhinelander, 1898",1898,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP1459.jpg,https://www.metmuseum.org/art/collection/search/246744,https://www.wikidata.org/wiki/Q116288496
met:246745,met,246745,Portrait bust of a woman,Portrait bust of a woman,Greek and Roman Art,,,,,Terracotta,"Gift of F. W. Rhinelander, 1898",1898,,,,,,,https://www.metmuseum.org/art/collection/search/246745,
met:246748,met,246748,Head of a woman,Head of a woman,Greek and Roman Art,"Greek, South Italian",Hellenistic,,3rd century BCE,Terracotta,"Gift of F. W. Rhinelander, 1898",1898,,,,,,,https://www.metmuseum.org/art/collection/search/246748,
met:247913,met,247913,Terracotta skyphos (deep drinking cup),"Skyphos, glaux",Greek and Roman Art,Etruscan,Hellenistic,,ca. 325–300 BCE,Terracotta,"Rogers Fund, 1907",1907,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP145991.jpg,https://www.metmuseum.org/art/collection/search/247913,https://www.wikidata.org/wiki/Q116296720
met:247914,met,247914,Terracotta oinochoe: olpe (jug),Olpe,Greek and Roman Art,"Greek, Attic",Classical,,ca. 460–440 BCE,Terracotta,"Rogers Fund, 1907",1907,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP118142.jpg,https://www.metmuseum.org/art/collection/search/247914,https://www.wikidata.org/wiki/Q116296628
met:247917,met,247917,Terracotta aryballos (perfume vase),Aryballos,Greek and Roman Art,"Greek, Corinthian",Early Corinthian,,ca. 620–590 BCE,Terracotta,"Rogers Fund, 1907",1907,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-16760-001.jpg,https://www.metmuseum.org/art/collection/search/247917,https://www.wikidata.org/wiki/Q116402379
met:247918,met,247918,Terracotta aryballos (perfume vase),Aryballos,Greek and Roman Art,"Greek, Corinthian",Protocorinthian,,7th century BCE,Terracotta,"Rogers Fund, 1907",1907,,,,,,https://images.metmuseum.org/CRDImages/gr/original/3823edited2.jpg,https://www.metmuseum.org/art/collection/search/247918,https://www.wikidata.org/wiki/Q116296627
met:247921,met,247921,Terracotta lekythos (oil flask),Lekythos,Greek and Roman Art,"Greek, Attic",Archaic,,ca. 520 BCE,Terracotta,"Rogers Fund, 1907",1907,,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP1079.jpg,https://www.metmuseum.org/art/collection/search/247921,https://www.wikidata.org/wiki/Q116296623
met:307438,met,307438,Nose ornament,Nose ornament,The Michael C. Rockefeller Wing,Colombia,,,13th–16th century,Gold,"Museum Purchase, 1891",1891,,,Colombia,,,,https://www.metmuseum.org/art/collection/search/307438,
met:307726,met,307726,Spindle Whorl,Spindle whorl,The Michael C. Rockefeller Wing,Mexican,,,10th–early 16th century,Ceramic,"Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/00.5.927.jpg,https://www.metmuseum.org/art/collection/search/307726,
met:307730,met,307730,Necklace of stone beads,Necklace,The Michael C. Rockefeller Wing,Guerrero,,,10th–early 16th century,Stone,"Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/vs00_5_955.jpg,https://www.metmuseum.org/art/collection/search/307730,
met:307734,met,307734,Disk,Disk,The Michael C. Rockefeller Wing,Classic Veracruz,,,600–900 CE,"Slate, cinnabar","Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/DT11605.jpg,https://www.metmuseum.org/art/collection/search/307734,
met:307738,met,307738,Mold for Female Figure,Mold,The Michael C. Rockefeller Wing,Toltec (?),,,10th–13th century,Ceramic,"Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/00.5.1148_b.jpg,https://www.metmuseum.org/art/collection/search/307738,
