objectID,title,objectName,department,culture,period,dynasty,objectDate,medium,creditLine,accessionYear,excavation,geographyType,origin_label,origin_precision,origin_lat,origin_lon,met_lat,met_lon,primaryImage,objectURL,objectWikidata_URL
89985,Headscarf,Headscarf,The Michael C. Rockefeller Wing,Guatemalan,,,20th century,cotton,"Gift of Dr. and Mrs. Emile Gordon Stoloff, 1951",1951,,,Guatemala,country,15.7835,-90.2308,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/89985,
90277,Brooch,Brooch,The Michael C. Rockefeller Wing,Peruvian,,,first quarter 20th century,"metal, glass","Gift of Hilary Knight, in memory of Katharine Sturges Knight, 1984",1984,,,Peru,country,-9.19,-75.0152,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/90277,
96404,Woman's Embroidered Wrapper (Ntshakokot),Skirt,The Michael C. Rockefeller Wing,Kuba peoples,,,early 20th century,"Raffia, reed","Purchase, Various Donors by Exchange, 1991",1991,,,Democratic Republic of the Congo,country,-4.0383,21.7587,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/96404,
105510,Shoes,Shoes,The Michael C. Rockefeller Wing,Huron,,,1830–40,"Wool, silk, moosehair","Gift of Mrs. Harry R. Radin, 1937",1937,,,United States,country,39.8283,-98.5795,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/CI37.1.3ab_F.jpg,https://www.metmuseum.org/art/collection/search/105510,
123386,Shirt,Shirt(?),The Michael C. Rockefeller Wing,Guatemala,,,1800–1939,cotton,"Gift of Miss Alice de La Mar, 1939",1939,,,Guatemala,country,15.7835,-90.2308,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/123386,
307438,Nose ornament,Nose ornament,The Michael C. Rockefeller Wing,Colombia,,,13th–16th century,Gold,"Museum Purchase, 1891",1891,,,Colombia,country,4.5709,-74.2973,40.7794,-73.9632,,https://www.metmuseum.org/art/collection/search/307438,
307726,Spindle Whorl,Spindle whorl,The Michael C. Rockefeller Wing,Mexican,,,10th–early 16th century,Ceramic,"Museum Purchase, 1900",1900,,,Mesoamerica,region,19.0,-99.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/00.5.927.jpg,https://www.metmuseum.org/art/collection/search/307726,
307730,Necklace of stone beads,Necklace,The Michael C. Rockefeller Wing,Guerrero,,,10th–early 16th century,Stone,"Museum Purchase, 1900",1900,,,Mesoamerica,region,19.0,-99.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/vs00_5_955.jpg,https://www.metmuseum.org/art/collection/search/307730,
307734,Disk,Disk,The Michael C. Rockefeller Wing,Classic Veracruz,,,600–900 CE,"Slate, cinnabar","Museum Purchase, 1900",1900,,,Mesoamerica,region,19.0,-99.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/DT11605.jpg,https://www.metmuseum.org/art/collection/search/307734,
307738,Mold for Female Figure,Mold,The Michael C. Rockefeller Wing,Toltec (?),,,10th–13th century,Ceramic,"Museum Purchase, 1900",1900,,,Mesoamerica,region,19.0,-99.0,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/ao/original/00.5.1148_b.jpg,https://www.metmuseum.org/art/collection/search/307738,
