objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,placeOfCreation,placeOfDiscovery,provenance,primaryImage,objectURL
qb:1624,qb,1624,Brassard,Brassard,Océanie,-,Deuxième moitié du 19e siècle.,Deuxième moitié du 19e siècle.,Vannerie de fibres végétales tressées (orchidée).,Ornement porté sur le haut du bras commun à de nombreuses îles mélanésiennes depuis Makira (îles Salomon) jusqu'aux îles Amirauté. La fibre jaune d'orchidée était d'ailleurs échangée entre les îles pour fabriquer ce type de brassard.,1886,,,,"Makira-Ulawa (province) < Salomon, îles < Mélanésie < Océanie",https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/001/1624.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/1624
qb:12795,qb,12795,Masque,Masque,Océanie,Iatmul,deuxième moitié du 19e siècle,deuxième moitié du 19e siècle,"Bois sculpté, pigments blanc, rouge et noir",Masque placé sur des boucliers de pirogue ou sur les boucliers de tambours à fente.,1939,,,,East Sepik (province) < Papouasie-Nouvelle-Guinée < Mélanésie < Océanie,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/IDENTIFICATION_OBJETS/Photos_YMAGO/000000/12795y.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/12795
qb:17904,qb,17904,Charme de guerre,Charme de guerre,Océanie,,début du 20e siècle,début du 20e siècle,"Bois, plumes, perles, pigments","Fiche Ganay van den Broek.""Charme de guerre parankara fait avec des plumes de pigeon kara, en bois peint, sculpté d'une tête, trons, jambes avec la terre de l'île Manus mélangée à de l'eau. Porté pour la guerre, les sing sing (danses) également pour la pêche aux tortues et aux sing sing suivant cette pêche.Acheté par M. et Mme van den Broek, le 8-9-35 sur l'île de Pak.Les guerriers de jadis, pour assurer leur sécurité pendant les combats, suspendaient dans leur dos un os d'ancêtre auquel ils attachaient des touffes de plumes dont les bords étaient découpés d'encoches. Plus tard, l'os fut remplacé par un ""charme"" de bois sculpté. Non seulement celui-ci a conservé de l'ancienne amulette les plumes finement dentelées, mais l'os et la courbure de son épiphyse y sont rappaelés, dit-on, par la tête toujours un peu penchée en avant. Les deux montants évidés qui encadrent les joues représentent les lobes des oreilles. Ceux-ci, percés dès l'enfance, sont progressivement distendus et finissent par former une boucle qui pend parfois jusqu'à l'épaule. Comme l'os, le charme est dans le dos mais il est maintenu (suite) dans une position horizontale, le fin visage près de la nuque et tourné vers le haut.",1962,,,,Mogara (village) < Pak (île) < Amirauté (îles) < Manus (province) < Bismarck (archipel) < Papouasie-Nouvelle-Guinée < Mélanésie < Océanie,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/017/17904.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/17904
qb:18218,qb,18218,Chasse-mouches,Chasse-mouches,Océanie,Fidjien,avant 1934,avant 1934,"Os de cétacé, crin de cheval","Chasse-mouche, objet de pouvoir, marqueur de statut",1962,,,,Muri Muri (village) < Matuku (île) < Moala (île) < Groupe Moala < Eastern (division) < Fidji < Mélanésie < Océanie,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/018/18218.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/18218
qb:20682,qb,20682,Lance cérémonielle,Lance cérémonielle,Océanie,Tiwi,Fin du 19e ou début du 20e siècle.,Fin du 19e ou début du 20e siècle.,"Bois sculpté, pigments ocre jaune, ocre brun et blanc",Armement. Objet cérémoniel,1972,,,,Bathurst (île) < Terre d'Arnhem (territoire aborigène) < Northern Territory (territory) < Australie < Océanie,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/020/20682.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/20682
qb:24035,qb,24035,Collier,Collier,Océanie,Fidjien,19e siècle,19e siècle,"Dents de cachalot (Physeter macrocephalus), perles de bois, fibres végétales.<br>Sens de présentation/port du collier : extrémités des dents orientées vers le haut.","Les Fidjiens produirent un grande quantité d'ornements composés de dents de cachalots ou de coquillage durant le 19e siècle. En plus de leur rôle de parures, ces matériaux marins et pérennes rentraient dans des stratégies d'échanges entre les groupes de l'archipel. Ces objets ne furent accessibles aux Européens qu'à partir des années 1870.",1954,,,,Fidji < Mélanésie < Océanie,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/024/24035.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/24035
qb:29052,qb,29052,Gargoulette,Gargoulette,Afrique du Nord et Moyen-Orient,Kabyle,avant 1932,avant 1932,"Terre cuite, pigments naturels<br>Montée au colombin par les femmes",Pour boire l'eau à la régalade.,1932,,,,Khankhoun (village) < Constantine (département) < Algérie < Maghreb < Afrique septentrionale < Afrique,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/029/29052.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/29052
qb:31447,qb,31447,Bracelets,Bracelets,Afrique du Nord et Moyen-Orient,Touareg,début du 20e siècle,début du 20e siècle,Argent<br>Fait par les forgerons Touareg,Parure de femme Portées par les femmes touaregs mais aussi par les femmes des oasis du Touat et du Tidikelt et de Tombouctou. Modèle d'inspiration soudanaise.,1934,,,,Djanet < Ouargla (département) < Algérie < Maghreb < Afrique septentrionale < Afrique,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/031/31447.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/31447
qb:35472,qb,35472,Fibules,Fibules,Afrique du Nord et Moyen-Orient,Ida Ou Semlal,fin 19e siècle,fin 19e siècle,"Argent, émaux<br>Filigrane",Parure de femmeAccessoire de la parure et du costume féminin : porté par les femmes pour draper sur chaque épaule la pièce de cotonnade qui leur sert de robe.,1938,,,,Sous (vallée) < Maroc < Maghreb < Afrique septentrionale < Afrique,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/035/35472.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/35472
qb:35473,qb,35473,Fibules,Fibules,Afrique du Nord et Moyen-Orient,Ida Ou Semlal,fin 19e siècle,fin 19e siècle,"Argent, émaux<br>Filigrane",Parure de femmeAccessoire de la parure et du costume féminin : porté par les femmes pour draper sur chaque épaule la pièce de cotonnade qui leur sert de robe.,1938,,,,Sous (vallée) < Maroc < Maghreb < Afrique septentrionale < Afrique,https://collections.quaibranly.fr/cc/imageproxy.ashx?server=localhost&port=15012&filename=Objets/Images/035/35473.jpg&cache=yes,https://collections.quaibranly.fr/#/objet/35473
